english,korean
Tell Tom I'll be home soon.,곧 집에 갈 거라고 톰한테 전해.
Tell me where you're going.,어디가는지 말해줘.
Thank you for your efforts.,수고했어.
That'll teach you a lesson.,그건 너한테 교훈을 줄 거야.
The baby was crying in bed.,아기가 침대에서 울고 있었어.
The boys played in the mud.,남자애들은 진흙탕에서 놀았다.
The cat's still very young.,그 고양이 아직도 많이 어려.
The future looks promising.,미래가 유망해 보인다.
The gift was still wrapped.,선물은 아직도 포장 상태야.
The medicine tastes bitter.,그 약은 쓰다.
The medicine tastes bitter.,그 약은 써요.
The snow has begun to melt.,눈은 녹기 시작했어.
There are no stars tonight.,오늘 밤엔 별이 안보이네.
This bread looks delicious.,이 빵 맛있어 보이네.
This car looks pretty cool.,이 차가 엄청 멋있어 보인다.
This code can't be cracked.,이 코드는 해킹될 수 없어.
This house is not for sale.,이 집은 팔려고 내놓은 집 아니에요.
This is a very useful tool.,이건 아주 유용한 도구야.
Tom and Mary have children.,톰과 메리에게는 자식이 있어.
Tom appears to be sleeping.,톰이 자고 있는 것처럼 보여.
Tom barely passed the exam.,톰은 시험 간신히 붙었어.
Tom didn't understand Mary.,톰은 메리를 이해할 수 없었다
Tom doesn't know the rules.,톰은 규칙을 몰라.
Tom finally found his keys.,톰이 드디어 자기 열쇠를 찾았다더라.
Tom grew up in the suburbs.,Tom은 교외에서 자랐다.
Tom has a dog named Cookie.,톰은 쿠키라는 강아지를 키우고 있어.
Tom has low blood pressure.,톰은 저혈압이다.
Tom has more money than me.,톰은 나보다 돈이 많아.
Tom initialed the document.,탐은 그 문서에 서명했다.
Tom is a very quiet person.,톰은 아주 조용한 사람이야.
Tom is ashamed of his body.,톰은 자기 몸을 창피해해.
Tom is ashamed of his body.,톰은 자기 몸을 창피해하고 있어.
Tom is eating potato chips.,톰은 감자칩을 먹고 있어.
Tom is having a tough time.,톰은 힘든 시간을 보내고 있어.
Tom is in a very good mood.,톰은 기분이 굉장히 좋네.
"Tom is quite shy, isn't he?",톰은 좀 소심한 것 같지 않아?
Tom is unbelievably naïve.,톰은 못 믿길 정도로 순진해.
Tom is wearing a blue coat.,톰은 파란 코트를 입고 있어.
Tom is wearing a blue coat.,톰은 파란색 코트를 입고 있어.
Tom isn't tall for his age.,톰은 나이에 비해 키가 크지 않아.
Tom nodded understandingly.,톰은 이해하고 있다는 듯이 고개를 끄덕였다.
Tom often sings in his car.,톰은 자기 차 안에서 가끔 노래해.
Tom painted his room white.,톰은 자기 방을 하얗게 칠했어.
Tom pondered his next move.,톰은 다음 행동을 곰곰이 생각했어.
Tom says that he's met you.,톰이 널 만난 적 있다고 말했어.
Tom slammed down the phone.,톰은 전화기를 쾅 놓았다.
Tom sold everything he had.,톰은 가진것을 모두 팔았다.
Tom suffers from headaches.,톰은 두통에 시달리고 있어.
Tom swims well for his age.,톰은 나이에 비해 수영을 잘해.
Tom used to be a policeman.,톰은 한때 경찰이었었어.
Tom was diagnosed with ASD.,톰은 자폐스펙트럼으로 진단받았어.
Tom was very disrespectful.,톰은 매우 무례했다.
Tom's attitude has changed.,톰의 태도가 변했어.
Tom's birthday's coming up.,톰 생일이 다가오고 있어.
War began five years later.,5년 후에 전쟁이 시작됐어.
We need to review the case.,우리는 그 사건을 검토할 필요가 있다.
We'll learn the truth soon.,우리는 곧 진실을 알게 될거야.
We'll wait until it's dark.,우린 어두워질 때까지 기다릴게.
We're all in the same boat.,우리는 모두 같은 배를 탔다.
We're coming back tomorrow.,우리는 내일 돌아올거야.
We're going to the kitchen.,우리는 부엌에 간다.
We've isolated the problem.,우리는 그 문제를 고립시켰어.
We've wasted a lot of time.,우리는 허송세월을 보냈어.
What are you writing about?,뭐에 대해 쓰고있어?
What color is your new car?,너 새차 색깔이 뭐야?
What's your Skype username?,네 스카이프 사용자 이름은 뭐야?
When should I feed the dog?,언제 개한테 먹이를 줘야 해?
Where will you go tomorrow?,내일 어디로 갈거야?
Where's the subway station?,지하철은 어디에 있어?
Who's going to sing for us?,누가 우리한테 노래해 줄거야?
Who's your favorite singer?,좋아하는 가수가 누구야?
Who's your favorite singer?,좋아하는 가수는 누구예요?
Why are we studying French?,왜 우리는 프랑스어를 공부할까요?
Why is French so difficult?,어째서 프랑스어는 이렇게나 어려울까?
Would you mind if I helped?,내가 도와도 괜찮겠니?
You know it doesn't matter.,상관없는 거 알잖아.
"You lied to me, didn't you?",절 속이셨죠?
"You lied to me, didn't you?",너 나 속였지?
"You, too, can learn French.",너도 마찬가지로 프랑스어를 배울 수 있어.
Are you trying to hit on me?,지금 나를 유혹하는 거야?
Can I take your word for it?,내가 그것에 대한 너의 말을 믿어도 되겠니?
Can the price be discounted?,가격을 깎을 수 있나요?
Can you justify your action?,네 행동을 정당화할 수 있니?
Choose one from among these.,그중 하나를 고르세요.
Did Tom tell you what to do?,톰이 네게 뭘 해야 할지를 말해줬니?
Did you know Tom was lonely?,톰이 외롭다는 걸 알고 있었어?
Did you know Tom was lonely?,톰이 외롭다는 걸 알고 계시나요?
Do you believe in evolution?,진화론을 믿니?
Do you have to work tonight?,오늘 밤에 일해야 하니?
Do you know what this means?,이것이 무슨 뜻인지 알겠어요?
Do you two want to be alone?,너희 둘은 혼자가 되고싶어?
Do you want to look into it?,살펴보고 싶어?
Don't you want to try again?,다시 시도하지 않을래?
Everybody needs to be quiet.,모두 조용히 해야 한다.
Everybody wants to be loved.,누구나 사랑 받고 싶어 해.
"Excuse me, where's the exit?",실례합니다. 출구가 어디인가요?
Has the snow already melted?,눈이 이미 녹았어?
Have you ever donated blood?,헌혈해 본 적이 있니?
Have you ever dreamed of me?,내 꿈 꿔본 적 있어?
Have you made your decision?,결정 했니?
He can speak five languages.,그 사람은 다섯 개 국어를 할 줄 알아.
Her jokes made us all laugh.,그 사람의 농담은 우리 모두를 웃게 했었어.
How do you like them apples?,사과 좋아요?
Humans originated in Africa.,인간은 아프리카에서 기원했다.
I already know you did that.,네가 그것을 했다는 것을 이미 알고 있다.
I can't describe my sadness.,나의 슬픔을 뭐라 표현할 수가 없네.
I could barely open my eyes.,난 눈을 거의 뜰 수 없었어.
I didn't know Tom was ready.,톰이 준비된 줄 몰랐어.
I don't celebrate birthdays.,난 생일같은 건 축하하지 않아.
I don't know about this one.,그건 잘 모르겠네.
I eat meat almost every day.,나는 매일같이 고기를 먹고 있어.
I haven't finished this yet.,이거 아직도 못 끝냈어.
I haven't heard from anyone.,아무에게도 들어본 적이 없어.
I know that Tom is autistic.,난 톰이 자폐증이란 걸 알고 있어.
I know what Tom needs to do.,나는 톰이 무엇을 할 필요가 있는지 알고 있다.
I live in a small apartment.,나는 작은 아파트에 살아요.
I live in a small apartment.,나는 작은 아파트에서 살아.
I managed to crack the code.,난 코드를 간신히 해킹했어.
I only did the bare minimum.,난 가장 최소한의 정도만 했어.
I read several books a week.,난 일주일에 책을 여러 권 읽어.
I really feel sorry for Tom.,나는 톰한테 너무 미안해.
I recognized Tom right away.,나는 톰을 즉각 알아챘어.
I study French all the time.,나는 항상 프랑스어를 공부해.
I suddenly got very worried.,난 갑자기 너무 걱정이 되었어.
I think the mistake is mine.,이건 내탓인 것 같아.
I think this is Tom's house.,이건 톰의 집인 것 같아.
I think you should meet Tom.,너는 톰을 만나봐야 할 것 같아.
I thought Tom looked lonely.,톰이 외로워 보이는 줄 알았어.
I told Tom not to use those.,난 톰한테 그걸 쓰지 말라고 했는데.
I took the subway yesterday.,어제 지하철을 탔어.
I took the subway yesterday.,난 어제 지하철을 탔어.
I tried to apologize to Tom.,톰에게 사과하려고 했어.
I understand your situation.,네 상황을 이해해.
I used to do that every day.,난 그걸 매일 했었어.
I used to live in Australia.,난 호주에 살았었어.
I want you to work with Tom.,난 네가 톰이랑 같이 일했으면 좋겠어.
I was miserable and unhappy.,나는 비참하고 불행했어.
I wish I were an only child.,내가 외동이었으면 좋았을 텐데.
I'd like to visit Australia.,나는 오스트레일리아에 가고 싶어.
I'm going to shoot that guy.,난 그 인간을 쏠 거야.
I'm in the same boat as you.,나도 너랑 같은 처지야.
I'm not sure what they want.,그들이 원하는 게 뭔지 모르겠다.
I'm not sure where to start.,어디서부터 시작할지 잘 모르겠어.
I'm sorry I opened my mouth.,내가 입을 열어서 미안해.
I'm sorry if I offended you.,기분 상하게 했다면 미안해.
I'm sorry that I kissed Tom.,톰한테 키스해서 미안해.
"I'm sorry, I can't help you.","미안한데, 내가 도와줄 수가 없어."
I'm still in love with Mary.,나는 아직 메리를 사랑해.
I've been working all night.,나는 밤새 일하던 중이었어.
I've been working very hard.,난 열심히 일하고 있었어.
I've learned a lot from Tom.,난 톰한테서 많은 걸 배웠어.
"If I were you, I'd help Tom.","만약 내가 너라면, 톰을 도울거야."
Is that all you want to say?,그게 네가 하고 싶은 말 전부니?
Is there enough room for us?,저희들을 위한 방이 충분히 있나요?
It couldn't have been worse.,이보다 더 나쁠 수는 없었어.
It's a symbol of friendship.,이건 우정의 표시야.
It's nothing I can't handle.,내가 감당할 수 있어.
Jackson fell from his horse.,잭슨은 자기 말에서 떨어졌어.
Let us know what you decide.,네가 결정한 걸 알려줘 봐.
Mary is a middle-aged woman.,메리는 중년 여성이야.
Most people think I'm crazy.,대부분의 사람들은 내가 미쳤다고 생각해
My son is small for his age.,내 아들은 또래에 비해 키가 작아.
Not all of my cats are gray.,모든 고양이가 회색인 건 아니야.
Our new car is not very big.,우리의 새 차는 그렇게 크지는 않다.
Perhaps you should tell Tom.,아마 너는 톰에게 말해야 해.
Please tidy up your bedroom.,네 침실 좀 정리해라.
She doesn't love me anymore.,그 사람은 나를 더 이상 사랑하지 않아.
She is watering the flowers.,그 사람은 꽃에 물을 주고 있어.
She is watering the flowers.,그는 꽃에 물을 주고 있어.
Somebody was talking to Tom.,누군가 톰한테 말을 걸고 있었어.
Someone ate all my cupcakes.,누가 내 컵케익 다 먹었어
That's why I can't help you.,이게 바로 내가 널 도와줄 수 없는 이유야.
The cat is still very young.,그 고양이는 아직도 많이 어려.
There's a full moon tonight.,오늘밤은 보름달이 떴어.
There's a spider in the box.,상자 안에 거미가 있어.
This plate isn't very clean.,이 접시는 그다지 깨끗하지 않아.
Today is a national holiday.,오늘은 공휴일이야.
Tom and I are house hunting.,톰이랑 나는 집을 구하고 있어.
Tom and I first met in 2013.,나랑 톰은 2013년도에 처음 만났어.
Tom and I meet every Monday.,나랑 톰은 월요일마다 만나.
Tom doesn't cut any corners.,톰은 요령 피우지 않는다.
Tom has a learning disorder.,톰은 학습 장애가 있어.
Tom has high blood pressure.,톰은 고혈압이다.
Tom is a boy about your age.,톰은 너와 같은 또래의 남자애야.
Tom is a decent human being.,톰은 제대로 된 인간이야.
Tom is a software developer.,톰은 소프트웨어 개발자야.
Tom is a very frugal person.,톰은 아주 검소한 사람이야.
Tom is like his grandfather.,톰은 마치 자기 할아버지같아.
"Tom is overweight, isn't he?",톰은 과체중이지.
"Tom is passionate, isn't he?","톰은 열정적이지, 안 그래?"
Tom is sitting on the porch.,톰은 현관에 앉아 있어.
Tom is used to working hard.,톰은 한때 열심히 일했었어.
Tom looks young for his age.,톰은 나이에 비해 어려 보여.
Tom refused to talk to Mary.,톰은 마리랑 대화하는 것을 거절했어.
Tom said he was ready to go.,톰이 자기 갈 준비 됐다고 말했어.
Tom said he was very lonely.,톰이 무척 외로웠다고 말했어.
Tom seems to be very lonely.,톰은 무척이나 외로워 보여.
Tom turned off his computer.,톰은 자기 컴퓨터를 껐어.
Tom's boss was really angry.,톰의 상사는 정말 화가 났다.
We'll meet again in October.,우리는 10월에 다시 만날 것이다.
What kind of work do you do?,어떤 종류의 일을 하세요?
What's Tom's favorite drink?,톰이 가장 좋아하는 음료는 뭐야?
What's the weather tomorrow?,내일 날씨는 어때?
What's your opinion on that?,그것에 대한 당신의 의견은 무엇인가?
When did you come to Boston?,보스턴에 언제 왔어?
Who else does Tom work with?,또 누가 톰이랑 일해?
Who is your favorite singer?,좋아하는 가수가 누구야?
Who is your favorite singer?,좋아하는 가수는 누구예요?
Who's eaten all the cookies?,대체 누가 쿠키를 다 먹었어?
Why are you acting so crazy?,너 왜 그렇게 미친 사람처럼 행동해?
Why are you still at school?,너 왜 아직도 학교에 있어?
Why are you walking so fast?,왜 그렇게 빨리 걸어?
Why didn't you go to school?,왜 학교에 가지 않았어?
Why do you like this school?,왜 이 학교를 좋아해?
Why does Tom feel so lonely?,왜 톰은 그렇게나 외로워해?
Will you lend me your knife?,네 나이프좀 빌려줄래?
A Mexican taught him Spanish.,멕시코인에 그에게 스페인어를 가르쳐 주었다.
A cute girl caught Tom's eye.,귀여운 여자애가 톰의 눈길을 사로잡았어.
Aren't you going to go there?,거기에 가 있지 않을 거야?
Buddhism originated in India.,불교는 인도에서 유래됐다.
Could you give me an example?,예를 들어 주시겠습니까?
Do you expect Tom to be late?,톰이 지각할거라고 예상하고 있어?
Do you really think it's bad?,정말 이게 나쁘다고 생각해?
Does acupuncture really work?,침술이 정말로 효과가 있어?
Does acupuncture really work?,침술이 정말로 효과가 있을까?
Don't expect too much of him.,그 사람한테 너무 기대하지 마.
Don't you want to go with me?,나랑 같이 가고 싶지 않아?
Everyone's going to be there.,모두들 거기 있을 거야.
Everyone's going to be there.,모두들 거기 가 있을 거야.
Foxes are my favorite animal.,여우는 내가 가장 좋아하는 동물이야.
Have you ever been a soldier?,군인이었던 적 있어?
Have you ever been a teacher?,선생이었던 적이 있어?
Have you ever been in prison?,너 교도소에 간 적 있어?
Have you ever been on a ship?,배에 한번이라도 타본 적 있어?
Have you ever been to Africa?,아프리카에 가본 적 있어?
Have you ever been to Canada?,캐나다에 가본 적 있어?
Have you ever been to Europe?,유럽에 가본 적 있어?
Have you ever seen Tom laugh?,톰이 웃은 걸 한번이라도 본 적 있어?
He stopped smoking last year.,그 사람 작년에 담배 끊었어.
Her faith in God is unshaken.,그녀의 신앙심은 흔들림이 없다.
Her faith in God is unshaken.,그녀의 신앙심은 견고하다.
Her faith in God is unshaken.,그녀의 신앙심은 굳건하다.
How long have you lived here?,너 여기서 산 지 얼마나 됐어?
I can't answer your question.,나는 당신의 질문에 답할 수 없어요.
I can't answer your question.,나는 네 질문에 답할 수 없어.
I didn't think I'd be lonely.,내가 외로울 거라곤 생각 못했어.
I didn't want to appear weak.,약해 보이고 싶지 않았어.
I didn't want to be punished.,나는 혼나고 싶지 않았어.
I don't feel anything at all.,아무런 느낌도 안 나.
"I don't like cookies, either.",난 쿠키도 안 좋아해.
I don't think I'll be lonely.,내가 외로울 거라고 생각하지 않아.
I don't think this is a fake.,이게 가짜같진 않은데.
I don't want to go to school.,난 학교에 가기 싫어.
I don't want to play anymore.,더이상 놀기 싫어
I feel like doing that today.,오늘 이걸 하고 싶은 기분이야.
I got a D on my science test.,난 과학 시험에서 D를 받았어.
I had no choice but to leave.,떠날 수밖에 없었어.
I hate myself for hating Tom.,톰이 싫어서 내 자신이 싫어.
I have several old computers.,나는 몇 대의 오래된 컴퓨터를 가지고 있어.
I have to ask Tom a question.,톰에게 물어볼 것이 있습니다.
I have to give Tom this book.,나는 톰에게 이 책을 줘야 합니다.
I hope Tom knows what to say.,톰이 어떤 말을 해야할지 알고있길 바라.
I knew it wasn't an accident.,그게 우연이 아니었다는 것을 알고 있었어.
I learned to write in school.,난 학교에서 쓰는 법을 배웠어.
I prefer quality to quantity.,나는 양보다 질을 선호해.
I remember seeing you before.,전에 만났던 것 기억해요.
I should've bought more food.,내가 먹을 것을 더 샀어야 했는데.
I think that Tom is offended.,내 생각에 톰은 기분이 상해있어.
I think that Tom is sensible.,톰은 예민한 것 같아.
I tried to act appropriately.,난 적절하게 처신하려고 노력했어.
I used to be a heroin addict.,나는 한때 헤로인 중독자였어.
"I want kids, but Tom doesn't.",나는 톰이랑은 달리 아이를 갖고 싶어.
I want to meet Tom's parents.,나는 톰의 부모를 만나고 싶어.
I was afraid I might be late.,내가 혹시 늦을까봐 걱정했었어.
I was popular in high school.,난 고등학교에서 인기가 있었어.
I was scolded for being late.,지각해서 혼났어.
I wish I were somewhere else.,내가 다른 곳에 있다면 좋을 텐데.
I'd like to learn how to ski.,나는 스키타는 법을 배우고 싶어.
I'm going to bed. Good night.,나 자러 갈게. 잘자.
I'm just watching television.,난 그냥 티비 보고 있어.
I'm just watching television.,난 그냥 티비를 보고 있어.
I'm little worried about you.,나는 조금 네가 걱정돼.
I'm not going to go in there.,난 거기에 안 들어갈 거야.
I'm so glad that you're here.,와줘서 고마워.
I'm sorry I left without you.,너 빼고 가버려서 미안해.
I've heard this joke already.,이 농담은 이미 들어봤어.
I've suffered as much as you.,나는 너만큼 고생했어.
It is our obligation to help.,우리의 의무는 도와주는 것이다.
It was a rhetorical question.,이건 수사적인 질문이었어.
"It was inevitable, wasn't it?",어쩔 수 없었지 않니?
Mary is wearing a silk dress.,메리는 비단으로 된 드레스를 입고 있어.
My daughter is not yet three.,내 딸은 아직 3 살이 안 됐어.
My grandfather died in Korea.,내 할아버지는 한국에서 돌아가셨다.
"My husband is a teacher, too.",우리 남편도 선생님이야.
Nobody backed up what I said.,아무도 내 말을 지지해주지 않았다.
Please keep your voices down.,조용히 해 주세요.
Tell me what you said to Tom.,네가 톰한테 뭐라고 말했는지 알려줘.
That would make a great gift.,좋은 선물이 되겠다.
The cat prefers fish to meat.,고양이는 고기보다 생선을 선호해.
The meeting went pretty well.,회의는 잘 진행되었어요.
The old man asked me a favor.,어떤 할아버지가 나한테 부탁을 했어.
The old man died from hunger.,그 어르신은 굶어 죽었어.
They must've had an accident.,무슨일이 있었을 거야
This could hurt our business.,이것은 우리 사업을 다치게 할 수도 있다.
This dictionary is expensive.,이 사전은 비싸다.
This magnet is very powerful.,이 자석은 너무 강해.
This news is important to us.,이 뉴스는 우리에게 중요하다.
Tom asked for Mary's address.,톰이 메리의 주소를 물어보더라.
Tom did that on his birthday.,톰이 그걸 자기 생일 때 했다더라.
Tom didn't wear a suit today.,톰은 오늘 정장을 입지 않았어.
Tom doesn't want to sit down.,톰은 앉고 싶어하지 않아.
Tom grew up in a rich family.,톰은 부유한 집안에서 자랐다.
Tom has a dog and three cats.,톰은 개 한 마리와 고양이 세 마리를 키우고 있어.
Tom has more books than Mary.,톰은 매리보다 책을 더 많이 가지고 있다.
Tom has more money than I do.,톰은 나보다 돈이 많아.
Tom has quite a lot of money.,톰은 돈을 꽤 많이 갖고 있어.
Tom is addicted to junk food.,톰은 패스트푸드 중독자야.
"Tom is blind, deaf, and dumb.",톰은 장님에 귀머거리에 벙어리야.
Tom is going to check it out.,톰이 확인하러 갈 거야.
Tom is learning how to drive.,톰은 운전하는 법을 배우고 있어.
Tom is living alone in a hut.,톰은 오두막에서 혼자 살아.
Tom is living alone in a hut.,톰은 오두막에서 혼자 살고 있어.
Tom is very tall for his age.,톰은 나이에 비해 키가 매우 커.
Tom is wearing black glasses.,톰은 검은 안경을 쓰고 있어.
"Tom isn't here, I assure you.","톰은 여기 없어, 내가 장담해."
Tom laughed so hard he cried.,톰은 눈물이 날 정도로 웃었어.
Tom learned French in school.,톰은 학교에서 프랑스어를 배워.
"Tom loves me, and I love Tom.",톰은 날 사랑하고 나도 톰을 사랑해.
Tom maintained his innocence.,톰은 잘못이 없다고 우겼어.
Tom maintained his innocence.,톰은 무죄라고 주장했어.
Tom noticed a change in Mary.,톰은 메리의 변화를 눈치챘다.
Tom said Mary was overweight.,톰은 메리가 과다체중이라고 했다.
Tom said he felt responsible.,톰은 책임감을 느낀다고 말했어.
Tom sat two rows ahead of me.,탐은 나보다 2줄 앞에 앉았다.
Tom seems a little dangerous.,톰은 약간 위험해 보여.
Tom thinks that I'm romantic.,톰은 내가 로맨틱하다고 생각해.
Tom tried to think logically.,톰은 논리적으로 생각하려 애썼다.
Tom wanted a bigger discount.,톰은 더 할인해 주기를 원했다.
Tom wanted a bigger discount.,톰은 더 큰 할인을 원했습니다.
Tom was killed in the battle.,톰은 전쟁 중에 죽었어.
Tom works for a tech company.,톰은 기술 회사에 일하고 있어.
We can take the subway there.,우린 저기에 있는 지하철 탈 수 있어.
We had a good time yesterday.,우리는 어제 즐겁게 지냈다.
We want you to sing the song.,우리는 네가 그 노래를 불렀으면 좋겠다.
What's Mary's husband's name?,메리 남편의 이름은 뭐야?
Where am I supposed to sleep?,내가 어디서 자기로 되어 있어?
Where did you learn to write?,어디서 쓰는 법을 배웠어?
Who woke Tom up this morning?,오늘 아침 누가 톰을 깨웠니?
Who's your favorite composer?,네가 가장 좋아하는 작곡가는 누구야?
Why are you acting so stupid?,넌 왜 그렇게 바보같이 굴어?
Why are you always so sleepy?,넌 왜 항상 그렇게 졸려해?
Why did you want to buy them?,왜 그걸 사고싶어했어?
Why don't you leave me alone?,날 좀 가만히 내버려 둬.
Why is nicotine so addictive?,왜 니코틴은 이렇게나 중독성 있어?
Would you like to go with me?,나와 함께가지 않을래?
You can't keep this a secret.,너는 이걸 비밀로 할 수는 없어.
You need to accept your role.,넌 너의 역할을 받아들일 필요가 있어.
You need to drink more water.,너 물 좀 더 마셔야 겠어.
You should've told the truth.,네가 진실을 말했어야지.
"You're miserable, aren't you?",비참하지?
You've forgotten your change.,잔돈을 잊어버리셨네요.
All I can do is to do my best.,내가 할 수 있는 건 최선을 다하는 것 뿐이야.
All that glitters is not gold.,반짝이는 것이 모두 금은 아니다.
Are you enjoying your weekend?,주말 즐겁게 잘 보내고 있어?
Are you interested in science?,과학에 관심 있니?
Are you sure they can do that?,네가 그걸 할 수 있다고 확신해?
"Can you pay attention, please?",제발 집중 좀 해 줄래?
Children and drunks don't lie.,아이와 술취한 사람은 거짓말 하지 않는다.
Could you help me find my dog?,내 강아지 찾는 걸 도와줄 수 있어?
Could you make sure Tom is OK?,톰이 괜찮은지 확인해줄 수 있어?
Did you hear the announcement?,그 발표 들었니?
Do you have any bags to check?,부치실 짐이 있으세요?
Do you suffer from depression?,우울증에 앓고 있어?
Do you think we could do that?,우리가 그걸 할 수 있다 생각해?
Doctors use medical equipment.,의사는 의료도구를 사용해.
Everyone dies sooner or later.,누구든 언젠가는 죽어.
He can speak and write French.,그는 불어로 말하고 쓸 수 있다.
He turned his coat inside out.,그는 코트를 뒤집었다.
He was caught stealing apples.,그는 사과를 훔치다가 잡혔다.
He was stumped by the problem.,그는 그 문제로 난처해졌다.
Humans can't live without air.,인간은 공기 없인 살 수 없어.
I can't believe Tom confessed.,나는 톰이 자백했다는 것을 믿을 수 없다.
I don't care what you thought.,네가 생각한 바에 난 개의치 않는다.
I don't know when he's coming.,걔 언제 올지 모르겠어
I don't like talking with Tom.,난 톰이랑 대화하는 걸 좋아하지 않아.
I don't write letters anymore.,난 더 이상 편지는 쓰지 않아.
I don't write letters anymore.,난 이제 편지 안 써.
I guess this is a coincidence.,이건 우연의 일치인 것 같아.
I hated myself for doing that.,그걸 해서 내 자신이 싫었어.
I have to look after this cat.,난 이 고양이를 돌봐야 해.
I met an old friend by chance.,우연히 옛날 친구를 만났어.
I need to buy Christmas gifts.,크리스마스 선물을 사야 해.
I really can't talk right now.,지금 당장은 대화할 시간이 없네.
I run 10 kilometers every day.,나는 매일 10 킬로미터를 달려.
I should've never trusted Tom.,나는 톰을 믿지않았어야 했어.
I still don't think it's fair.,난 아직도 이게 공평하다고 생각하지 않아.
I take care of my grandfather.,나는 할아버지를 돌보고 있어.
I think Tom would be thrilled.,내 생각에 톰은 아주 신나할 것 같아.
I thought Tom would be lonely.,난 톰이 외로울 거라고 생각했어.
I thought something was wrong.,나는 뭔가가 잘못되었다고 생각했다.
I want to get there by subway.,지하철로 가고 싶어.
I want to return to Australia.,호주로 돌아가고 싶어.
I want you to know I love you.,내가 널 사랑한다는 것을 알았으면 좋겠어.
I wanted to give you a chance.,네게 기회를 주고 싶었어.
I'm done watering the flowers.,꽃 물주기를 끝냈다.
I'm glad to hear Tom did that.,톰이 그걸 했다고 하니 기뻐.
I'm happiest when I'm reading.,난 책을 읽고 있을 때가 가장 행복해.
I'm happiest when I'm singing.,난 노래 부르고 있을 때가 가장 행복해.
I'm sorry I acted like a jerk.,망나니처럼 행동해서 미안해.
I'm taking a shower right now.,난 지금 샤워하고 있어.
I've never tried water skiing.,나는 한 번도 수상 스키를 타본 적이 없어.
Is there a woman in your life?,네 인생에 여자가 있어?
It is too dark for me to read.,너무 어두워서 못 읽겠어.
It was a traumatic experience.,이건 충격적인 경험이었어.
It's not as hard as you think.,그건 네가 생각하는 만큼 어려운 건 아냐.
Linux is open source software.,리눅스는 오픈 소스 소프트웨어야.
Maybe Tom doesn't remember me.,아마 톰은 날 기억하지 않아.
No one remembered my birthday.,아무도 내 생일을 기억해주지 않았어.
Nobody remembered my birthday.,아무도 내 생일을 기억해주지 않았어.
Our class consists of 40 boys.,우리 반은 남자애 40명으로 구성되어 있어.
Peel the potatoes and carrots.,감자와 당근의 껍질을 벗겨주세요.
Please explain it more simply.,더 간단하게 설명해 줘.
She's by far the tallest girl.,이제까지 그녀가 가장 키가 큰 여자다.
Six squared equals thirty-six.,6의 제곱은 36이야.
"Sorry, I don't get your point.","미안한데, 무슨 말을 하는지 못 알아듣겠어."
Take care not to catch a cold.,감기 안 걸리도록 조심해.
Thanks for taking care of Tom.,톰을 돌봐줘서 고마워요.
That happened over a year ago.,그 일은 일년 전 쯤 일어났다.
That's my favorite expression.,이게 바로 내가 가장 좋아하는 표현이야.
That's why I've done all this.,그게 내가 이 모든 것을 한 이유이다.
The moon was shining brightly.,달이 밝게 빛나고 있었어.
The world is full of problems.,세계는 문제투성이다.
These scissors don't cut well.,이 가위 잘 안들어요.
These scissors don't cut well.,이 가 위 잘 안들어.
This is the law of the jungle.,이것이 정글의 법칙이야.
This isn't a very good brandy.,썩 좋은 브랜디는 아니다.
Tom and Mary are both lawyers.,톰과 메리는 둘 다 변호사야.
Tom came back home after dark.,톰은 어두워진 후에 집에 돌아왔어.
Tom came here to learn French.,톰은 프랑스어를 배우려고 여기에 왔어.
Tom came here to learn French.,톰은 프랑스어를 배우러 여기에 왔어.
Tom didn't seem to be so busy.,톰 별로 안 바빠 보이던데.
Tom found out what went wrong.,톰은 뭐가 잘못됐는지 알아챘어.
Tom has no idea where Mary is.,톰은 메리가 어디 있는지 모른다.
Tom is a great French teacher.,톰은 훌륭한 프랑스어 선생님이야.
Tom is a very dedicated actor.,톰은 아주 헌신적인 배우야.
Tom is an electrical engineer.,톰은 전기기사다.
"Tom is lonely, but Mary isn't.","톰은 외로운데, 메리는 그렇지 않아."
Tom is our next-door neighbor.,톰은 우리의 옆집 이웃이다.
Tom is wearing a baseball cap.,톰은 야구 모자를 쓰고 있어.
Tom is wearing a yellow shirt.,톰은 노란 셔츠를 입고 있어.
Tom knows not to do that here.,톰은 여기서 그렇게 하지 않을것을 안다.
Tom knows something you don't.,톰은 네가 모르고 있는 걸 알고 있어.
Tom likes to wear dark colors.,톰은 검은색 옷을 입는 걸 좋아해.
Tom often lets me use his car.,톰은 가끔 내가 톰의 차를 쓰도록 해줘.
Tom practices piano every day.,톰은 매일 피아노를 연습해.
Tom seemed a little dangerous.,톰은 조금 위험해 보였어.
Tom surrendered to the police.,톰은 경찰에게 항복했다.
Tom walked towards the stairs.,톰은 계단을 향해 걸어갔다.
Tom wants to avoid everything.,톰은 모든 걸 회피하고 싶어해.
Tom wants to avoid everything.,톰은 모든 것을 회피하고 싶어해.
Tom was right about one thing.,톰은 한가지에 대해 옳았다
"Tom was sick, but Mary wasn't.",톰은 아팠는데 메리는 괜찮았어.
Tom was sitting in the garden.,톰은 정원에 앉아 있어.
Tom was sitting in the garden.,톰은 정원에 앉아 있었어.
Tom will be there to meet you.,톰이 너를 만나러 거기에 갈 거야.
Tom will never see Mary again.,톰은 메리를 더 이상 안 본다더라.
