사원번호,부서,성과등급,연봉,근속연수,교육참가횟수,만족도
E0597,Finance,C,114100000,13.0,2,9.0
E0598,IR,B,72000000,18.0,3,7.0
E0599,Manager,B,60800000,5.0,5,9.0
E0600,Manager,B,50000000,3.0,2,9.0
E0601,Sales,C,125100000,11.0,3,3.0
E0602,Marketing,C,69400000,13.0,6,4.0
E0603,Marketing,A,85200000,4.0,2,2.0
E0604,IR,A,108500000,14.0,1,
E0605,Sales,B,82800000,11.0,3,5.0
E0606,Manager,C,94300000,10.0,2,5.0
E0607,Marketing,C,72300000,19.0,6,6.0
E0608,Sales,C,85500000,18.0,2,
E0609,Marketing,B,118400000,6.0,2,7.0
E0610,Finance,A,45200000,15.0,6,1.0
E0611,Marketing,B,110800000,10.0,3,2.0
E0612,Manager,A,94200000,,4,9.0
E0613,HR,A,118600000,5.0,3,2.0
E0614,IR,B,100900000,10.0,5,
E0615,IR,A,93600000,5.0,6,1.0
E0616,Manager,A,139900000,3.0,3,3.0
E0617,Marketing,C,103600000,6.0,2,
E0618,Sales,A,112200000,4.0,6,3.0
E0619,Marketing,B,119800000,18.0,1,5.0
E0620,Manager,B,61600000,9.0,3,6.0
E0621,IR,A,51000000,17.0,6,
E0622,Marketing,C,105700000,13.0,3,4.0
E0623,IR,C,141600000,15.0,6,7.0
E0624,Sales,A,94500000,,2,6.0
E0625,IR,A,131800000,17.0,1,2.0
E0626,IR,B,83100000,13.0,1,8.0
E0627,HR,A,142100000,16.0,5,7.0
E0628,HR,C,64300000,4.0,6,7.0
E0629,Finance,A,80700000,5.0,3,8.0
E0630,HR,B,66200000,5.0,1,1.0
E0631,IR,B,83600000,9.0,1,1.0
E0632,Manager,B,99200000,17.0,4,
E0633,IR,B,115000000,13.0,4,4.0
E0634,Manager,B,118500000,2.0,1,5.0
E0635,Manager,A,42300000,13.0,6,8.0
E0636,HR,A,66300000,19.0,5,5.0
E0637,Marketing,A,44700000,3.0,1,4.0
E0638,Sales,A,48600000,10.0,2,6.0
E0639,HR,B,91100000,2.0,3,5.0
E0640,HR,C,73000000,13.0,5,7.0
E0641,Marketing,A,107900000,19.0,2,7.0
E0642,Sales,C,41400000,17.0,5,4.0
E0643,IR,A,115900000,14.0,2,5.0
E0644,Finance,A,77800000,12.0,3,3.0
E0645,Finance,C,148200000,12.0,3,4.0
E0646,IR,B,130400000,11.0,4,4.0
E0647,HR,A,89200000,7.0,6,3.0
E0648,Sales,A,48300000,,2,5.0
E0649,HR,A,58300000,19.0,4,5.0
E0650,Manager,C,135700000,1.0,2,7.0
E0651,HR,B,144100000,3.0,4,4.0
E0652,HR,C,108000000,13.0,3,4.0
E0653,IR,C,58200000,15.0,5,9.0
E0654,IR,B,72300000,2.0,4,6.0
E0655,IR,C,109100000,11.0,2,4.0
E0656,Finance,B,104100000,4.0,2,2.0
E0657,Manager,A,143400000,19.0,6,6.0
E0658,IR,B,127700000,17.0,3,2.0
E0659,Sales,A,101900000,3.0,2,5.0
E0660,Finance,C,114000000,18.0,1,
E0661,Marketing,C,92000000,8.0,5,4.0
E0662,Sales,A,46200000,19.0,4,
E0663,Sales,C,134500000,5.0,6,7.0
E0664,IR,B,106000000,7.0,5,
E0665,Marketing,A,71300000,8.0,3,6.0
E0666,Marketing,C,132400000,5.0,6,
E0667,Finance,A,60000000,17.0,4,
E0668,Marketing,B,57600000,5.0,4,4.0
E0669,Manager,B,144300000,4.0,1,4.0
E0670,IR,C,80400000,19.0,3,4.0
E0671,Marketing,B,75100000,2.0,6,9.0
E0672,Finance,A,83500000,11.0,6,7.0
E0673,Manager,B,46300000,13.0,2,3.0
E0674,HR,A,99600000,15.0,1,3.0
E0675,HR,A,132200000,12.0,1,6.0
E0676,Manager,B,48800000,11.0,6,
E0677,Finance,C,147300000,7.0,6,
E0678,Manager,B,115100000,5.0,5,9.0
E0679,IR,A,58300000,17.0,5,4.0
E0680,IR,A,125100000,20.0,5,9.0
E0681,HR,B,63900000,9.0,1,4.0
E0682,Marketing,C,64500000,14.0,2,2.0
E0683,Finance,C,86500000,12.0,4,2.0
E0684,HR,A,89800000,6.0,5,5.0
E0685,Marketing,A,92700000,17.0,2,4.0
E0686,Marketing,C,70500000,19.0,3,7.0
E0687,IR,B,85000000,19.0,5,5.0
E0688,Sales,A,143100000,16.0,4,6.0
E0689,Sales,A,149500000,12.0,3,4.0
E0690,Manager,C,73800000,12.0,3,2.0
E0691,IR,B,95300000,20.0,4,9.0
E0692,Marketing,C,104500000,6.0,5,
E0693,Finance,B,128600000,4.0,1,4.0
E0694,Sales,B,103800000,6.0,4,3.0
E0695,Marketing,B,91800000,11.0,4,3.0
E0696,Sales,A,122900000,1.0,4,9.0
E0697,Sales,C,87300000,15.0,3,5.0
E0698,Sales,C,82500000,11.0,2,3.0
E0699,Finance,B,77800000,19.0,1,5.0
E0700,IR,A,94000000,18.0,5,2.0
E0701,Finance,A,92900000,17.0,5,4.0
E0702,HR,C,122400000,19.0,2,
E0703,Marketing,A,79000000,14.0,4,2.0
E0704,IR,A,82100000,18.0,1,8.0
E0705,IR,B,124300000,19.0,5,1.0
E0706,IR,A,84100000,15.0,6,
E0707,IR,B,146100000,15.0,5,5.0
E0708,Finance,C,92000000,4.0,4,8.0
E0709,IR,A,49400000,7.0,6,1.0
E0710,Manager,C,57400000,13.0,2,7.0
E0711,Marketing,C,148200000,3.0,1,
E0712,IR,A,87200000,16.0,2,4.0
E0713,Marketing,A,92000000,,2,7.0
E0714,Manager,C,133600000,8.0,1,2.0
E0715,Manager,A,136400000,20.0,1,1.0
E0716,Marketing,B,58400000,13.0,5,
E0717,Sales,B,70500000,17.0,5,1.0
E0718,HR,A,88700000,17.0,1,5.0
E0719,Sales,C,127100000,17.0,6,7.0
E0720,Sales,A,49000000,1.0,3,2.0
E0721,Finance,A,134800000,8.0,5,8.0
E0722,Sales,C,88800000,19.0,3,
E0723,IR,C,122000000,6.0,6,3.0
E0724,Finance,B,108600000,3.0,1,
E0725,Finance,C,108000000,5.0,6,2.0
E0726,Manager,B,111700000,13.0,5,
E0727,Sales,C,130500000,15.0,2,3.0
E0728,Manager,A,112400000,14.0,1,1.0
E0729,Marketing,B,42600000,16.0,4,6.0
E0730,HR,B,108800000,18.0,3,2.0
E0731,Finance,B,58600000,11.0,6,1.0
E0732,Marketing,A,144100000,3.0,1,2.0
E0733,Marketing,A,123700000,10.0,6,6.0
E0734,IR,A,49400000,10.0,1,4.0
E0735,HR,A,147500000,16.0,5,6.0
E0736,Marketing,A,129800000,12.0,5,9.0
E0737,Marketing,B,92200000,2.0,5,8.0
E0738,HR,A,146200000,9.0,6,1.0
E0739,HR,B,119900000,3.0,4,8.0
E0740,Marketing,A,71200000,15.0,5,9.0
E0741,HR,C,43800000,3.0,1,6.0
E0742,Marketing,B,127300000,19.0,5,5.0
E0743,Marketing,C,123600000,18.0,2,6.0
E0744,IR,B,107900000,8.0,5,
E0745,Sales,C,134200000,17.0,6,
E0746,Marketing,A,114700000,8.0,4,4.0
E0747,Manager,A,56100000,7.0,2,2.0
E0748,Finance,A,120400000,7.0,6,
E0749,Sales,B,113300000,3.0,6,2.0
E0750,Sales,C,74900000,1.0,6,9.0
E0751,Sales,A,116500000,4.0,1,2.0
E0752,IR,C,76000000,5.0,6,8.0
E0753,Marketing,C,64200000,1.0,1,9.0
E0754,IR,A,50400000,15.0,6,9.0
E0755,Marketing,A,52400000,5.0,3,9.0
E0756,IR,C,62800000,13.0,2,2.0
E0757,IR,A,42700000,8.0,3,4.0
E0758,Finance,A,40400000,8.0,6,7.0
E0759,Manager,A,99700000,5.0,2,2.0
E0760,IR,B,60000000,9.0,2,1.0
E0761,Finance,C,143300000,1.0,4,3.0
E0762,HR,C,70800000,4.0,3,4.0
E0763,Manager,B,53100000,3.0,4,
E0764,IR,C,142900000,2.0,2,6.0
E0765,Sales,A,94200000,8.0,1,2.0
E0766,HR,C,92400000,,2,9.0
E0767,HR,A,53300000,2.0,4,2.0
E0768,Finance,B,88700000,14.0,3,5.0
E0769,HR,A,126400000,14.0,6,4.0
E0770,Manager,C,94200000,4.0,6,7.0
E0771,IR,C,90100000,6.0,3,8.0
E0772,IR,C,75200000,11.0,6,5.0
E0773,Sales,B,126600000,3.0,6,5.0
E0774,Finance,B,101800000,8.0,4,2.0
E0775,Sales,C,57800000,,3,8.0
E0776,HR,A,96300000,14.0,5,2.0
E0777,Sales,B,119000000,13.0,1,6.0
E0778,Manager,C,72000000,13.0,1,8.0
E0779,IR,C,148100000,2.0,6,6.0
E0780,HR,B,91200000,13.0,1,4.0
E0781,Sales,B,120200000,19.0,3,4.0
E0782,Finance,B,123800000,6.0,3,6.0
E0783,Manager,A,92400000,16.0,2,4.0
E0784,Manager,A,64700000,2.0,2,
E0785,Sales,C,142900000,8.0,1,9.0
E0786,IR,B,111200000,17.0,5,1.0
E0787,Sales,A,84700000,2.0,2,4.0
E0788,HR,B,69000000,10.0,2,4.0
E0789,Sales,C,135700000,16.0,3,2.0
E0790,Manager,A,51900000,6.0,5,6.0
E0791,Sales,A,81100000,2.0,6,3.0
E0792,IR,A,129600000,2.0,1,7.0
E0793,Finance,C,77600000,13.0,2,5.0
E0794,Marketing,B,89800000,15.0,5,4.0
E0795,Sales,A,92000000,2.0,5,5.0
E0796,IR,C,58500000,7.0,1,8.0
E0797,IR,B,121600000,,5,
E0798,Finance,C,76800000,8.0,5,
E0799,Manager,B,120500000,14.0,5,6.0
E0800,IR,C,94000000,7.0,2,
E0801,IR,B,80800000,7.0,1,7.0
E0802,IR,A,144900000,1.0,5,
E0803,IR,B,105600000,17.0,5,1.0
E0804,HR,C,138000000,9.0,2,9.0
E0805,HR,C,65500000,13.0,1,
E0806,Manager,B,48500000,19.0,3,2.0
E0807,Sales,A,145800000,19.0,2,5.0
E0808,IR,A,60600000,17.0,1,4.0
E0809,Finance,B,61900000,10.0,5,7.0
E0810,Sales,B,51100000,10.0,1,8.0
E0811,Finance,C,87600000,4.0,1,1.0
E0812,Sales,A,116700000,,6,5.0
E0813,Manager,B,65200000,20.0,1,3.0
E0814,IR,A,59900000,20.0,3,1.0
E0815,IR,B,118800000,18.0,1,3.0
E0816,Marketing,B,57400000,14.0,3,6.0
E0817,Finance,A,117400000,18.0,5,
E0818,Sales,B,101700000,14.0,3,8.0
E0819,Sales,B,66600000,20.0,5,4.0
E0820,HR,C,104600000,15.0,5,3.0
E0821,Marketing,B,117500000,4.0,3,
E0822,HR,B,129900000,13.0,2,9.0
E0823,HR,B,126400000,8.0,4,6.0
E0824,HR,C,124400000,18.0,1,9.0
E0825,Finance,A,102900000,12.0,6,6.0
E0826,Finance,C,142600000,14.0,4,2.0
E0827,Manager,C,100900000,2.0,1,5.0
E0828,Manager,A,45300000,18.0,1,9.0
E0829,HR,C,122500000,2.0,5,8.0
E0830,Marketing,A,79000000,11.0,1,
E0831,Sales,C,71000000,9.0,6,1.0
E0832,Finance,A,69800000,12.0,1,4.0
E0833,Marketing,B,87600000,17.0,3,7.0
E0834,IR,C,118100000,15.0,4,7.0
E0835,Finance,C,84700000,17.0,3,6.0
E0836,Finance,C,63200000,18.0,6,8.0
E0837,Manager,C,131300000,6.0,1,6.0
E0838,Sales,B,86000000,17.0,6,3.0
E0839,Sales,C,145800000,18.0,5,4.0
E0840,IR,B,69000000,8.0,3,3.0
E0841,IR,B,121100000,9.0,3,1.0
E0842,Finance,B,135800000,6.0,2,5.0
E0843,HR,B,80800000,5.0,1,
E0844,Manager,A,85900000,12.0,5,1.0
E0845,Manager,A,129300000,11.0,3,2.0
E0846,Finance,C,81700000,1.0,3,4.0
E0847,Marketing,A,115000000,11.0,5,6.0
E0848,HR,A,41000000,19.0,6,8.0
E0849,Finance,C,89700000,9.0,6,3.0
E0850,HR,C,63900000,2.0,1,1.0
E0851,HR,C,88100000,12.0,2,3.0
E0852,HR,A,126700000,4.0,3,3.0
E0853,Finance,A,74900000,4.0,2,5.0
E0854,Manager,C,114100000,18.0,6,4.0
E0855,Manager,B,125500000,15.0,6,4.0
E0856,HR,C,100300000,19.0,4,9.0
E0857,Marketing,B,129100000,13.0,1,7.0
E0858,Sales,B,137700000,19.0,4,4.0
E0859,Finance,C,40900000,17.0,4,3.0
E0860,Sales,C,41600000,6.0,4,6.0
E0861,Marketing,C,53200000,16.0,1,3.0
E0862,Finance,A,93600000,12.0,1,6.0
E0863,HR,B,113200000,19.0,5,9.0
E0864,Manager,A,133700000,5.0,2,6.0
E0865,Sales,A,60500000,17.0,2,4.0
E0866,IR,C,65100000,1.0,5,5.0
E0867,IR,A,45400000,10.0,5,6.0
E0868,Marketing,C,44200000,,6,3.0
E0869,HR,B,120900000,11.0,4,8.0
E0870,Sales,C,48100000,,5,4.0
E0871,HR,A,98600000,5.0,3,8.0
E0872,Sales,A,122400000,1.0,2,
E0873,Marketing,C,71900000,,5,7.0
E0874,Marketing,C,63900000,11.0,3,9.0
E0875,IR,A,142100000,17.0,3,
E0876,HR,B,134200000,4.0,3,8.0
E0877,Finance,B,134700000,15.0,6,3.0
E0878,IR,C,124700000,9.0,6,7.0
E0879,HR,B,82800000,20.0,3,3.0
E0880,IR,A,91200000,19.0,6,7.0
E0881,Finance,C,94600000,19.0,4,6.0
E0882,Manager,A,129300000,12.0,3,2.0
E0883,Manager,A,141600000,5.0,4,3.0
E0884,Manager,B,60000000,10.0,4,6.0
E0885,Manager,C,105300000,17.0,3,4.0
E0886,Sales,C,54800000,5.0,2,6.0
E0887,Manager,B,58900000,16.0,3,1.0
E0888,Finance,A,115600000,7.0,3,1.0
E0889,Marketing,A,58300000,9.0,6,3.0
E0890,Marketing,A,51800000,3.0,3,
E0891,Sales,A,76200000,15.0,2,8.0
E0892,Manager,C,94400000,16.0,6,4.0
E0893,Manager,C,94800000,18.0,1,6.0
E0894,Manager,B,49600000,14.0,1,8.0
E0895,IR,B,87500000,3.0,4,7.0
E0896,HR,C,61600000,12.0,4,7.0
E0897,IR,C,49900000,9.0,2,
E0898,HR,A,138900000,7.0,5,
E0899,Manager,A,81400000,9.0,1,6.0
E0900,Manager,B,81800000,13.0,4,3.0
E0901,IR,C,144500000,18.0,1,5.0
E0902,IR,B,137100000,5.0,2,
E0903,HR,C,130900000,13.0,2,5.0
E0904,Marketing,A,72400000,4.0,5,
E0905,HR,B,99100000,2.0,5,9.0
E0906,IR,B,53600000,16.0,6,9.0
E0907,Finance,C,108300000,9.0,2,6.0
E0908,IR,A,123000000,9.0,4,6.0
E0909,Finance,B,75600000,6.0,1,
E0910,Sales,A,91200000,11.0,3,4.0
E0911,IR,B,79500000,1.0,5,6.0
E0912,Sales,A,76700000,4.0,3,
E0913,Marketing,C,100900000,13.0,4,1.0
E0914,HR,B,68800000,13.0,5,7.0
E0915,Finance,B,71000000,,3,
E0916,HR,A,62700000,2.0,4,9.0
E0917,Sales,A,124300000,9.0,1,7.0
E0918,Finance,B,65100000,8.0,4,7.0
E0919,HR,C,100300000,7.0,6,
E0920,IR,A,70700000,4.0,5,9.0
E0921,Manager,A,87100000,18.0,2,
E0922,Sales,A,75100000,3.0,1,6.0
E0923,HR,B,145900000,6.0,3,3.0
E0924,Sales,B,75900000,12.0,5,1.0
E0925,Sales,B,118100000,12.0,2,4.0
E0926,Finance,B,110000000,8.0,4,3.0
E0927,Finance,C,92300000,1.0,2,
E0928,Manager,C,50800000,4.0,5,3.0
E0929,IR,B,45900000,11.0,5,4.0
E0930,Sales,C,40000000,,6,8.0
E0931,HR,A,103000000,13.0,6,9.0
E0932,Marketing,A,88400000,17.0,2,3.0
E0933,Sales,A,49100000,10.0,4,
E0934,Sales,B,87700000,12.0,2,5.0
E0935,Manager,A,56400000,15.0,5,6.0
E0936,IR,C,59700000,10.0,5,4.0
E0937,Marketing,B,143300000,14.0,3,6.0
E0938,Finance,C,80000000,,6,7.0
E0939,Finance,A,138600000,5.0,3,9.0
E0940,HR,A,73100000,6.0,1,7.0
E0941,Marketing,A,67700000,2.0,5,6.0
E0942,Finance,B,139000000,17.0,3,1.0
E0943,HR,C,63300000,4.0,2,2.0
E0944,IR,B,67700000,14.0,6,1.0
E0945,HR,B,60600000,,6,9.0
E0946,Finance,A,120800000,3.0,4,9.0
E0947,Manager,B,45600000,3.0,2,7.0
E0948,Manager,B,111000000,15.0,4,2.0
E0949,Manager,A,142300000,6.0,3,6.0
E0950,Finance,B,141300000,17.0,1,4.0
E0951,Manager,A,101500000,12.0,2,1.0
E0952,Marketing,A,51200000,20.0,2,1.0
E0953,IR,A,135500000,11.0,2,5.0
E0954,HR,A,131100000,4.0,4,2.0
E0955,HR,B,42200000,6.0,3,4.0
E0956,Finance,A,41600000,1.0,2,1.0
E0957,Manager,A,89900000,20.0,2,4.0
E0958,Manager,B,41100000,16.0,6,6.0
E0959,Sales,B,50900000,15.0,1,4.0
E0960,IR,C,71900000,17.0,6,1.0
E0961,Marketing,B,138600000,8.0,6,7.0
E0962,HR,B,143700000,12.0,1,
E0963,Sales,C,62400000,10.0,3,9.0
E0964,Sales,B,58400000,15.0,6,3.0
E0965,Finance,B,87200000,9.0,3,8.0
E0966,HR,B,57400000,,6,8.0
E0967,Finance,B,126600000,5.0,5,3.0
E0968,Marketing,C,87300000,6.0,1,4.0
E0969,Sales,B,104300000,7.0,6,2.0
E0970,Sales,B,128300000,1.0,5,
E0971,IR,C,77200000,7.0,4,9.0
E0972,Marketing,A,143800000,20.0,5,2.0
E0973,Sales,C,135000000,12.0,2,3.0
E0974,Marketing,A,101900000,16.0,6,4.0
E0975,HR,C,66900000,16.0,5,5.0
E0976,Manager,C,142500000,11.0,3,1.0
E0977,Sales,B,144600000,4.0,4,7.0
E0978,IR,A,46700000,13.0,6,7.0
E0979,HR,B,47000000,7.0,2,9.0
E0980,Marketing,A,48800000,4.0,5,4.0
E0981,Finance,C,145400000,15.0,4,6.0
E0982,HR,C,84500000,19.0,6,2.0
E0983,Sales,A,87700000,9.0,4,4.0
E0984,Marketing,B,118800000,11.0,2,2.0
E0985,Manager,B,54200000,8.0,5,5.0
E0986,HR,B,88000000,1.0,4,7.0
E0987,Sales,B,95000000,8.0,4,1.0
E0988,IR,C,110900000,13.0,1,7.0
E0989,Finance,C,69100000,4.0,4,6.0
E0990,Marketing,C,67300000,8.0,1,6.0
E0991,HR,C,48000000,3.0,5,8.0
E0992,HR,C,74800000,9.0,6,8.0
E0993,Manager,B,135000000,2.0,6,6.0
E0994,Manager,B,53800000,2.0,5,3.0
E0995,IR,B,85600000,13.0,5,
E0996,Finance,B,90400000,15.0,3,2.0
E0997,IR,C,147600000,12.0,5,5.0
E0998,Sales,C,95600000,4.0,4,9.0
E0999,Sales,C,94400000,8.0,6,1.0
E1000,IR,A,92400000,9.0,2,5.0
